time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,6,5,4,4
2025-01-08 00:00:00+00:00,6,4,8,4
2025-01-09 00:00:00+00:00,5,5,23,6
2025-01-10 00:00:00+00:00,3,3,19,3
2025-01-11 00:00:00+00:00,4,3,21,13
2025-01-12 00:00:00+00:00,4,2,15,4
2025-01-13 00:00:00+00:00,10,7,40,6
2025-01-14 00:00:00+00:00,5,3,8,3
2025-01-15 00:00:00+00:00,7,5,6,2
2025-01-16 00:00:00+00:00,3,3,41,4
2025-01-17 00:00:00+00:00,3,3,26,6
2025-01-18 00:00:00+00:00,5,3,1,1
2025-01-19 00:00:00+00:00,1,1,4,1
2025-01-20 00:00:00+00:00,4,3,34,4
