time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-08 00:00:00+00:00,3,2,9,3
2022-11-09 00:00:00+00:00,3,2,14,6
2022-11-10 00:00:00+00:00,3,3,15,6
2022-11-11 00:00:00+00:00,2,2,29,6
2022-11-12 00:00:00+00:00,1,1,5,1
2022-11-13 00:00:00+00:00,3,3,32,2
2022-11-14 00:00:00+00:00,37,8,11,3
2022-11-15 00:00:00+00:00,1,1,10,2
2022-11-16 00:00:00+00:00,8,5,13,6
2022-11-17 00:00:00+00:00,4,4,11,7
2022-11-18 00:00:00+00:00,1,1,12,3
2022-11-19 00:00:00+00:00,2,2,12,2
2022-11-20 00:00:00+00:00,3,3,10,6
2022-11-21 00:00:00+00:00,9,4,21,3
