time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-07 00:00:00+00:00,1,1,,
2024-09-08 00:00:00+00:00,1,1,2.0,1.0
2024-09-09 00:00:00+00:00,4,3,,
2024-09-10 00:00:00+00:00,14,7,24.0,5.0
2024-09-11 00:00:00+00:00,7,5,8.0,4.0
2024-09-12 00:00:00+00:00,5,3,16.0,8.0
2024-09-13 00:00:00+00:00,3,3,75.0,6.0
2024-09-14 00:00:00+00:00,1,1,,
2024-09-15 00:00:00+00:00,2,1,,
2024-09-16 00:00:00+00:00,13,5,25.0,10.0
2024-09-17 00:00:00+00:00,2,2,18.0,8.0
2024-09-18 00:00:00+00:00,10,5,22.0,7.0
2024-09-19 00:00:00+00:00,8,4,19.0,6.0
2024-09-20 00:00:00+00:00,2,2,88.0,4.0
