time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,13,6,6,5
2025-06-07 00:00:00+00:00,7,4,7,4
2025-06-08 00:00:00+00:00,4,4,2,2
2025-06-09 00:00:00+00:00,5,5,4,3
2025-06-10 00:00:00+00:00,2,2,10,7
2025-06-11 00:00:00+00:00,6,6,15,2
2025-06-12 00:00:00+00:00,5,5,27,11
2025-06-13 00:00:00+00:00,4,4,8,6
2025-06-14 00:00:00+00:00,5,3,1,1
2025-06-15 00:00:00+00:00,1,1,4,3
2025-06-16 00:00:00+00:00,7,7,9,7
2025-06-17 00:00:00+00:00,6,6,4,4
2025-06-18 00:00:00+00:00,4,4,26,5
2025-06-19 00:00:00+00:00,1,1,10,4
