time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,10,6,26,7
2025-03-06 00:00:00+00:00,9,5,10,5
2025-03-07 00:00:00+00:00,3,3,9,6
2025-03-08 00:00:00+00:00,5,4,8,4
2025-03-09 00:00:00+00:00,6,4,6,2
2025-03-10 00:00:00+00:00,9,7,36,8
2025-03-11 00:00:00+00:00,6,6,66,10
2025-03-12 00:00:00+00:00,5,4,23,7
2025-03-13 00:00:00+00:00,11,8,17,6
2025-03-14 00:00:00+00:00,5,4,14,5
2025-03-15 00:00:00+00:00,3,2,25,1
2025-03-16 00:00:00+00:00,6,3,1,1
2025-03-17 00:00:00+00:00,20,9,85,6
2025-03-18 00:00:00+00:00,7,3,11,6
