time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-11 00:00:00+00:00,13,9,67.0,7.0
2024-03-12 00:00:00+00:00,4,4,65.0,10.0
2024-03-13 00:00:00+00:00,8,6,17.0,4.0
2024-03-14 00:00:00+00:00,10,7,34.0,4.0
2024-03-15 00:00:00+00:00,9,6,15.0,5.0
2024-03-16 00:00:00+00:00,6,6,58.0,2.0
2024-03-17 00:00:00+00:00,4,4,25.0,2.0
2024-03-18 00:00:00+00:00,23,12,21.0,4.0
2024-03-19 00:00:00+00:00,4,3,2.0,1.0
2024-03-20 00:00:00+00:00,4,4,1.0,1.0
2024-03-21 00:00:00+00:00,4,3,21.0,3.0
2024-03-22 00:00:00+00:00,2,2,33.0,5.0
2024-03-23 00:00:00+00:00,4,4,11.0,3.0
2024-03-24 00:00:00+00:00,1,1,,
