time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-05 00:00:00+00:00,2,2,2,1
2023-03-06 00:00:00+00:00,24,9,4,3
2023-03-07 00:00:00+00:00,3,3,6,2
2023-03-08 00:00:00+00:00,5,4,18,5
2023-03-09 00:00:00+00:00,3,3,22,6
2023-03-10 00:00:00+00:00,3,2,21,3
2023-03-11 00:00:00+00:00,2,2,6,3
2023-03-12 00:00:00+00:00,3,3,2,2
2023-03-13 00:00:00+00:00,11,6,15,5
2023-03-14 00:00:00+00:00,3,3,7,4
2023-03-15 00:00:00+00:00,2,2,19,3
2023-03-16 00:00:00+00:00,5,3,7,4
2023-03-17 00:00:00+00:00,3,3,11,8
