referrer,views_total,views_unique
developers.miro.com,562,129
Google,48,6
github.com,30,5
miroapp.github.io,30,2
DuckDuckGo,8,1
developers-miro-com.translate.goog,2,1
previews.email,2,1
com.google.android.gm,2,1
mail.google.com,2,1
yandex.ru,1,1
