time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-03 00:00:00+00:00,9.0,4.0,7,2
2023-04-04 00:00:00+00:00,2.0,2.0,59,2
2023-04-05 00:00:00+00:00,4.0,4.0,15,3
2023-04-06 00:00:00+00:00,3.0,2.0,11,3
2023-04-07 00:00:00+00:00,1.0,1.0,15,2
2023-04-08 00:00:00+00:00,3.0,2.0,1,1
2023-04-09 00:00:00+00:00,2.0,2.0,3,3
2023-04-10 00:00:00+00:00,6.0,4.0,11,3
2023-04-11 00:00:00+00:00,3.0,3.0,8,4
2023-04-12 00:00:00+00:00,11.0,7.0,33,5
2023-04-13 00:00:00+00:00,2.0,2.0,51,9
2023-04-14 00:00:00+00:00,3.0,2.0,5,4
2023-04-15 00:00:00+00:00,4.0,3.0,7,2
2023-04-16 00:00:00+00:00,,,11,2
