time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,4,4,48.0,9.0
2023-12-07 00:00:00+00:00,6,4,50.0,7.0
2023-12-08 00:00:00+00:00,4,4,163.0,8.0
2023-12-09 00:00:00+00:00,5,5,11.0,3.0
2023-12-10 00:00:00+00:00,5,5,2.0,1.0
2023-12-11 00:00:00+00:00,22,11,54.0,5.0
2023-12-12 00:00:00+00:00,4,4,16.0,3.0
2023-12-13 00:00:00+00:00,7,5,12.0,6.0
2023-12-14 00:00:00+00:00,10,5,15.0,3.0
2023-12-15 00:00:00+00:00,25,8,135.0,5.0
2023-12-16 00:00:00+00:00,4,4,,
2023-12-17 00:00:00+00:00,4,4,50.0,1.0
2023-12-18 00:00:00+00:00,18,12,50.0,6.0
2023-12-19 00:00:00+00:00,1,1,98.0,7.0
