referrer,views_total,views_unique
github.com,68,21
Google,24,7
miroapp.github.io,14,7
com.google.android.gm,13,2
mail.google.com,11,1
developers.miro.com,5,4
medium.com,5,2
miro-group.readme.io,1,1
