time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-05 00:00:00+00:00,6.0,4.0,110,18
2024-08-06 00:00:00+00:00,4.0,4.0,109,13
2024-08-07 00:00:00+00:00,4.0,4.0,120,26
2024-08-08 00:00:00+00:00,5.0,5.0,99,16
2024-08-09 00:00:00+00:00,2.0,2.0,44,16
2024-08-10 00:00:00+00:00,2.0,2.0,48,9
2024-08-11 00:00:00+00:00,1.0,1.0,114,9
2024-08-12 00:00:00+00:00,6.0,5.0,154,18
2024-08-13 00:00:00+00:00,6.0,5.0,75,17
2024-08-14 00:00:00+00:00,3.0,3.0,158,27
2024-08-15 00:00:00+00:00,3.0,3.0,256,22
2024-08-16 00:00:00+00:00,9.0,6.0,79,10
2024-08-17 00:00:00+00:00,3.0,3.0,6,2
2024-08-18 00:00:00+00:00,,,10,6
