url_path,views_total,views_unique
/miroapp/api-clients,42,16
/miroapp/api-clients/blob/main/packages/generator/spec.json,37,27
/miroapp/api-clients/issues,7,5
/miroapp/api-clients/pulls,4,4
/miroapp/api-clients/commit/912a7678fbdb5627ad55e04439ae47a50ae98bb8,4,3
/miroapp/api-clients/pull/469,4,2
/miroapp/api-clients/blob/main/CODEOWNERS,3,2
/miroapp/api-clients/commit/e77f746ae505f606f6f9b95222a42584aff216b0,3,2
/miroapp/api-clients/commit/e967089dc87ad06bc5267d7e3a38f38cf0d8aadf,3,2
/miroapp/api-clients/pull/309,3,2
