time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-02 00:00:00+00:00,2,2,6,2
2025-01-03 00:00:00+00:00,3,3,9,5
2025-01-04 00:00:00+00:00,3,2,1,1
2025-01-05 00:00:00+00:00,1,1,7,2
2025-01-06 00:00:00+00:00,5,4,1,1
2025-01-07 00:00:00+00:00,6,5,4,4
2025-01-08 00:00:00+00:00,6,4,8,4
2025-01-09 00:00:00+00:00,5,5,23,6
2025-01-10 00:00:00+00:00,3,3,19,3
2025-01-11 00:00:00+00:00,4,3,21,13
2025-01-12 00:00:00+00:00,4,2,15,4
2025-01-13 00:00:00+00:00,10,7,40,6
2025-01-14 00:00:00+00:00,5,3,8,3
2025-01-15 00:00:00+00:00,5,3,6,2
