time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,6,5,10,4
2026-08-30 00:00:00+00:00,3,3,5,4
2026-08-31 00:00:00+00:00,7,7,12,5
2026-09-01 00:00:00+00:00,12,7,14,10
2026-09-02 00:00:00+00:00,30,11,12,7
2026-09-03 00:00:00+00:00,15,11,18,9
2026-09-04 00:00:00+00:00,17,7,11,4
2026-09-05 00:00:00+00:00,55,32,9,4
2026-09-06 00:00:00+00:00,20,17,10,6
2026-09-07 00:00:00+00:00,11,10,5,4
2026-09-08 00:00:00+00:00,13,9,39,9
2026-09-09 00:00:00+00:00,44,21,13,5
2026-09-10 00:00:00+00:00,21,11,15,5
2026-09-11 00:00:00+00:00,15,13,17,8
