time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,18,6,15,6
2026-05-02 00:00:00+00:00,31,10,7,4
2026-05-03 00:00:00+00:00,12,6,9,5
2026-05-04 00:00:00+00:00,34,12,20,8
2026-05-05 00:00:00+00:00,21,8,2,2
2026-05-06 00:00:00+00:00,15,6,2,2
2026-05-07 00:00:00+00:00,158,30,25,9
2026-05-08 00:00:00+00:00,37,18,21,9
2026-05-09 00:00:00+00:00,58,12,1,1
2026-05-10 00:00:00+00:00,13,7,24,7
2026-05-11 00:00:00+00:00,21,9,11,4
2026-05-12 00:00:00+00:00,42,13,7,3
2026-05-13 00:00:00+00:00,26,10,11,4
2026-05-14 00:00:00+00:00,32,11,6,4
