referrer,views_total,views_unique
developers.miro.com,556,145
Google,54,6
miroapp.github.io,38,2
DuckDuckGo,8,1
github.com,5,3
developers-miro-com.translate.goog,2,1
yandex.ru,1,1
misha.spris.dev,1,1
