referrer,views_total,views_unique
developers.miro.com,69,8
pypi.org,55,2
github.com,35,9
Google,27,6
miroapp.github.io,21,3
statics.teams.cdn.office.net,2,1
previews.email,2,1
you.com,1,1
yandex.ru,1,1
