referrer,views_total,views_unique
developers.miro.com,127,9
pypi.org,55,2
github.com,35,9
Google,28,7
miroapp.github.io,24,4
previews.email,6,2
statics.teams.cdn.office.net,2,1
you.com,1,1
yandex.ru,1,1
