time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,10,9,15,5
2025-11-12 00:00:00+00:00,21,12,23,14
2025-11-13 00:00:00+00:00,14,13,16,11
2025-11-14 00:00:00+00:00,13,7,36,11
2025-11-15 00:00:00+00:00,12,9,10,5
2025-11-16 00:00:00+00:00,9,9,3,2
2025-11-17 00:00:00+00:00,12,11,13,10
2025-11-18 00:00:00+00:00,10,10,14,8
2025-11-19 00:00:00+00:00,12,11,3,3
2025-11-20 00:00:00+00:00,15,10,8,5
2025-11-21 00:00:00+00:00,13,12,34,25
2025-11-22 00:00:00+00:00,6,6,18,16
2025-11-23 00:00:00+00:00,4,4,2,2
2025-11-24 00:00:00+00:00,8,7,7,6
